02:40:51:394 [ALWAYS]	GUDE Logging Started
02:40:51:395 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
02:40:51:395 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
02:40:51:395 [ERROR]	Initialize resume cache pointer failure
02:40:51:395 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
02:40:51:395 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
02:40:53:518 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
02:40:53:518 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
02:40:53:518 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
02:40:53:518 [ERROR]	Initialize resume cache pointer failure
02:40:53:518 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
02:40:53:518 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
